EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,EducationLevel,Attrition,MonthlyIncome,PerformanceRating,OverTime
EMP0666,37,Male,Sales,Sales Representative,9,4,No,51787,2,Yes
EMP0667,28,Male,Sales,HR Manager,13,5,Yes,121949,5,No
EMP0668,41,Female,Sales,Sales Executive,2,4,No,138645,1,Yes
EMP0669,60,Female,Research & Development,Laboratory Technician,7,4,No,142964,3,Yes
EMP0670,29,Female,Research & Development,HR Manager,13,5,No,147895,4,No
EMP0671,58,Female,Human Resources,HR Manager,8,5,No,108110,1,Yes
EMP0672,24,Female,Research & Development,Research Scientist,15,5,No,37386,4,No
EMP0673,44,Female,Sales,Laboratory Technician,9,5,Yes,30435,3,Yes
EMP0674,56,Female,Human Resources,Laboratory Technician,7,5,Yes,127127,3,No
EMP0675,49,Male,Research & Development,Research Scientist,12,2,No,62654,1,Yes
EMP0676,45,Male,Sales,HR Manager,0,4,Yes,81693,5,No
EMP0677,26,Female,Sales,Laboratory Technician,15,3,Yes,46741,5,No
EMP0678,54,Female,Research & Development,Research Scientist,12,1,Yes,116299,4,Yes
EMP0679,43,Male,Human Resources,Research Scientist,11,4,No,54226,1,No
EMP0680,22,Female,Research & Development,Research Scientist,3,3,Yes,41980,1,Yes
EMP0681,48,Male,Research & Development,Research Scientist,14,5,Yes,143891,4,No
EMP0682,53,Female,Sales,Sales Representative,7,5,Yes,38911,5,No
EMP0683,28,Female,Human Resources,Research Scientist,0,5,No,123995,5,No
EMP0684,49,Male,Research & Development,Laboratory Technician,12,1,No,132122,5,No
EMP0685,45,Male,Human Resources,Laboratory Technician,7,3,No,91905,2,No
EMP0686,51,Female,Human Resources,HR Manager,14,3,No,61041,2,Yes
EMP0687,31,Female,Sales,Sales Executive,11,3,Yes,132078,3,No
EMP0688,49,Female,Sales,Research Scientist,15,3,No,113898,2,Yes
EMP0689,33,Male,Sales,Research Scientist,3,5,No,48767,1,No
EMP0690,55,Female,Research & Development,Sales Executive,9,5,Yes,113008,2,No
EMP0691,39,Female,Research & Development,Sales Executive,10,2,Yes,90727,3,Yes
EMP0692,56,Female,Human Resources,Laboratory Technician,4,3,Yes,94835,5,Yes
EMP0693,52,Female,Research & Development,Laboratory Technician,2,3,Yes,50585,2,No
EMP0694,51,Female,Sales,Sales Representative,3,2,No,85784,4,Yes
EMP0695,49,Male,Research & Development,Sales Executive,5,5,No,131240,3,No
EMP0696,59,Male,Human Resources,HR Manager,6,2,No,65481,3,No
EMP0697,39,Male,Research & Development,Sales Executive,15,3,Yes,100263,3,Yes
EMP0698,42,Female,Research & Development,HR Manager,7,3,No,114218,1,Yes
EMP0699,37,Female,Human Resources,Research Scientist,2,2,Yes,101509,4,Yes
EMP0700,27,Female,Human Resources,Sales Representative,4,3,Yes,125880,2,Yes
EMP0701,39,Female,Research & Development,Research Scientist,12,5,No,62293,2,Yes
EMP0702,50,Female,Sales,Laboratory Technician,15,4,Yes,110935,3,No
EMP0703,37,Male,Sales,HR Manager,7,3,Yes,75417,3,No
EMP0704,51,Male,Sales,Laboratory Technician,1,3,No,102834,4,No
EMP0705,58,Female,Sales,HR Manager,15,5,Yes,72072,3,Yes
EMP0706,46,Male,Research & Development,Laboratory Technician,8,4,No,123371,2,Yes
EMP0707,43,Female,Research & Development,Sales Representative,13,2,Yes,118487,5,Yes
EMP0708,23,Female,Human Resources,Sales Executive,9,5,Yes,72104,4,No
EMP0709,53,Female,Human Resources,Research Scientist,10,2,No,102632,5,Yes
EMP0710,42,Male,Research & Development,Sales Executive,4,3,Yes,72562,3,No
EMP0711,33,Male,Sales,Research Scientist,1,2,Yes,52409,4,Yes
EMP0712,53,Male,Human Resources,Sales Executive,10,3,No,53716,5,Yes
EMP0713,35,Female,Human Resources,Research Scientist,13,5,Yes,106605,1,No
EMP0714,44,Female,Research & Development,Laboratory Technician,0,5,No,117633,2,Yes
EMP0715,38,Male,Research & Development,Sales Representative,8,3,No,70012,3,Yes
EMP0716,43,Male,Sales,HR Manager,6,2,No,52323,3,No
EMP0717,39,Male,Research & Development,Laboratory Technician,15,4,No,119295,5,No
EMP0718,60,Male,Human Resources,Laboratory Technician,15,5,Yes,140323,3,Yes
EMP0719,39,Male,Human Resources,HR Manager,10,5,Yes,75387,2,Yes
EMP0720,57,Male,Sales,Sales Executive,7,2,Yes,48342,4,No
EMP0721,22,Male,Sales,Research Scientist,10,1,No,123428,2,Yes
EMP0722,55,Male,Sales,Laboratory Technician,14,3,No,142619,4,Yes
EMP0723,34,Female,Research & Development,Laboratory Technician,15,2,Yes,70976,5,No
EMP0724,27,Male,Research & Development,Sales Executive,2,2,No,43291,5,No
EMP0725,37,Female,Sales,Laboratory Technician,3,5,No,83225,1,Yes
EMP0726,48,Male,Human Resources,Research Scientist,13,3,No,45159,3,Yes
EMP0727,53,Female,Human Resources,HR Manager,2,2,Yes,95844,4,Yes
EMP0728,57,Female,Research & Development,Sales Representative,12,4,No,72951,2,Yes
EMP0729,37,Female,Human Resources,Sales Representative,4,3,No,94127,2,No
EMP0730,52,Female,Research & Development,HR Manager,0,2,Yes,78266,5,Yes
EMP0731,53,Male,Human Resources,HR Manager,5,4,Yes,110602,4,No
EMP0732,50,Male,Research & Development,HR Manager,3,4,Yes,41014,3,No
EMP0733,23,Male,Research & Development,Sales Executive,5,3,No,88802,1,Yes
EMP0734,27,Female,Human Resources,Sales Representative,6,5,No,38724,1,Yes
EMP0735,40,Female,Human Resources,Laboratory Technician,14,4,Yes,37174,1,No
EMP0736,36,Female,Research & Development,Sales Executive,3,5,No,74038,5,Yes
EMP0737,47,Male,Human Resources,Research Scientist,1,3,No,36845,3,Yes
EMP0738,37,Female,Sales,HR Manager,13,2,No,99349,2,No
EMP0739,41,Female,Research & Development,Laboratory Technician,15,3,Yes,141631,5,No
EMP0740,59,Female,Human Resources,Sales Representative,5,5,Yes,113457,3,Yes
EMP0741,45,Male,Human Resources,Laboratory Technician,15,1,Yes,36181,3,No
EMP0742,52,Female,Human Resources,Sales Executive,4,3,No,77614,4,Yes
EMP0743,57,Male,Sales,Laboratory Technician,13,1,No,70437,3,No
EMP0744,55,Female,Research & Development,HR Manager,12,4,Yes,108549,2,Yes
EMP0745,44,Male,Sales,Sales Representative,0,5,Yes,42156,1,Yes
EMP0746,49,Female,Human Resources,Sales Representative,9,4,No,63859,4,No
EMP0747,57,Male,Sales,Sales Representative,3,1,Yes,88751,3,Yes
EMP0748,43,Male,Sales,Sales Representative,13,1,No,89520,2,Yes
EMP0749,44,Male,Research & Development,Sales Executive,9,2,Yes,70272,3,Yes
EMP0750,51,Male,Research & Development,Sales Executive,8,3,Yes,65290,5,Yes
EMP0751,39,Male,Human Resources,Laboratory Technician,10,4,No,91815,5,Yes
EMP0752,41,Male,Sales,Sales Executive,11,4,Yes,60188,1,Yes
EMP0753,38,Female,Research & Development,Sales Representative,5,5,No,130228,1,No
EMP0754,36,Female,Sales,Research Scientist,4,5,Yes,77988,5,No
EMP0755,29,Male,Sales,Laboratory Technician,9,3,Yes,113706,2,Yes
EMP0756,34,Male,Research & Development,Research Scientist,6,5,Yes,58157,4,Yes
EMP0757,42,Female,Research & Development,Sales Representative,11,5,No,76743,5,Yes
EMP0758,29,Male,Research & Development,Research Scientist,8,4,Yes,131237,1,Yes
EMP0759,56,Male,Human Resources,Laboratory Technician,15,2,No,48500,3,No
EMP0760,33,Male,Research & Development,Sales Executive,14,3,Yes,69002,4,Yes
EMP0761,34,Male,Sales,Sales Representative,6,1,Yes,87456,1,Yes
EMP0762,35,Female,Research & Development,HR Manager,10,4,Yes,144536,3,Yes
EMP0763,52,Female,Research & Development,Laboratory Technician,4,4,No,99327,4,Yes
EMP0764,39,Female,Human Resources,Sales Executive,5,5,Yes,125918,4,Yes
EMP0765,59,Female,Human Resources,Research Scientist,15,1,Yes,127432,1,Yes
EMP0766,55,Female,Sales,Sales Representative,0,4,Yes,141827,3,No
EMP0767,60,Female,Human Resources,HR Manager,10,4,No,125977,2,Yes
EMP0768,40,Female,Sales,HR Manager,13,4,Yes,68770,4,No
EMP0769,28,Female,Human Resources,Sales Executive,5,3,Yes,44697,5,No
EMP0770,34,Male,Sales,Research Scientist,4,1,Yes,139217,5,Yes
EMP0771,40,Female,Sales,Laboratory Technician,15,2,No,133477,3,Yes
EMP0772,36,Female,Human Resources,Laboratory Technician,2,2,No,140638,3,Yes
EMP0773,45,Female,Sales,HR Manager,0,1,Yes,90456,2,Yes
EMP0774,33,Male,Human Resources,Laboratory Technician,9,3,Yes,45608,4,Yes
EMP0775,41,Male,Research & Development,Sales Representative,6,1,Yes,76714,1,Yes
EMP0776,22,Female,Research & Development,Sales Representative,6,1,No,106097,4,No
EMP0777,56,Female,Human Resources,Research Scientist,3,1,Yes,69358,4,No
EMP0778,30,Female,Research & Development,Sales Executive,14,3,No,122055,1,Yes
EMP0779,39,Male,Research & Development,Research Scientist,10,1,Yes,135614,5,No
EMP0780,24,Female,Human Resources,Sales Executive,3,5,Yes,104852,4,Yes
EMP0781,25,Male,Human Resources,Sales Executive,1,5,No,90222,3,Yes
EMP0782,57,Female,Human Resources,Sales Executive,14,3,No,56140,4,No
EMP0783,40,Female,Research & Development,Research Scientist,5,2,No,64073,3,No
EMP0784,30,Female,Sales,HR Manager,2,1,Yes,67930,4,No
EMP0785,53,Female,Human Resources,Sales Representative,11,4,Yes,141071,4,No
EMP0786,28,Female,Human Resources,Sales Executive,7,2,Yes,148135,2,Yes
EMP0787,22,Female,Research & Development,HR Manager,11,1,No,109040,4,No
EMP0788,58,Male,Sales,Research Scientist,0,5,No,56630,2,No
EMP0789,40,Male,Sales,Sales Representative,6,1,Yes,34803,4,No
EMP0790,52,Male,Sales,Research Scientist,8,1,No,73695,5,Yes
EMP0791,52,Male,Human Resources,Laboratory Technician,9,1,No,60325,1,No
EMP0792,50,Female,Research & Development,HR Manager,13,3,No,94006,3,Yes
EMP0793,43,Female,Research & Development,Sales Executive,9,5,Yes,96918,3,Yes
EMP0794,33,Male,Research & Development,Research Scientist,11,3,Yes,100033,1,Yes
EMP0795,25,Male,Research & Development,Sales Executive,12,3,Yes,33969,5,No
EMP0796,38,Female,Research & Development,HR Manager,8,4,Yes,59130,3,No
EMP0797,52,Female,Sales,HR Manager,6,2,No,55589,5,Yes
EMP0798,29,Female,Sales,Sales Representative,2,2,Yes,46359,5,Yes
EMP0799,26,Female,Sales,Laboratory Technician,4,2,No,99448,5,Yes
EMP0800,47,Female,Sales,Laboratory Technician,3,5,No,58543,1,Yes
EMP0801,53,Female,Human Resources,Research Scientist,6,5,No,85218,1,No
EMP0802,26,Male,Sales,Research Scientist,8,5,No,40898,2,No
EMP0803,58,Male,Sales,Sales Representative,5,3,Yes,144536,4,No
EMP0804,25,Female,Human Resources,HR Manager,8,5,Yes,133221,4,Yes
EMP0805,31,Male,Human Resources,HR Manager,3,3,Yes,38997,2,No
EMP0806,31,Female,Human Resources,HR Manager,4,2,No,120227,5,No
EMP0807,58,Female,Human Resources,Sales Representative,12,2,Yes,56350,1,No
EMP0808,41,Female,Human Resources,Sales Executive,10,1,No,61410,1,No
EMP0809,27,Male,Human Resources,Laboratory Technician,8,5,No,138199,5,No
EMP0810,37,Male,Human Resources,Sales Executive,15,5,Yes,114450,3,No
EMP0811,29,Female,Human Resources,HR Manager,6,3,Yes,98310,3,Yes
EMP0812,57,Male,Sales,Laboratory Technician,5,2,Yes,108757,1,No
EMP0813,48,Female,Research & Development,Research Scientist,0,2,No,53883,4,Yes
EMP0814,60,Male,Research & Development,Sales Representative,7,4,No,85983,5,Yes
EMP0815,60,Female,Sales,Research Scientist,6,2,Yes,34906,4,No
EMP0816,36,Male,Sales,Sales Representative,2,5,No,97237,1,No
EMP0817,55,Female,Sales,Laboratory Technician,4,5,Yes,92185,3,Yes
EMP0818,46,Male,Sales,Laboratory Technician,4,1,No,96326,2,Yes
EMP0819,50,Male,Research & Development,Sales Representative,5,2,No,100116,3,Yes
EMP0820,50,Female,Research & Development,HR Manager,15,1,No,146604,4,No
EMP0821,41,Male,Research & Development,Research Scientist,0,5,Yes,52948,4,No
EMP0822,59,Female,Human Resources,Sales Representative,10,5,No,136441,1,No
EMP0823,49,Female,Research & Development,Sales Executive,2,3,Yes,149748,3,No
EMP0824,41,Female,Sales,HR Manager,1,4,No,102983,1,No
EMP0825,58,Female,Research & Development,Research Scientist,4,1,Yes,38954,2,No
EMP0826,25,Female,Human Resources,Research Scientist,14,1,Yes,76219,2,Yes
EMP0827,28,Female,Human Resources,HR Manager,13,2,No,134124,4,No
EMP0828,35,Female,Research & Development,Sales Executive,15,4,Yes,52818,3,Yes
EMP0829,35,Male,Sales,Research Scientist,10,2,No,92903,4,No
EMP0830,38,Female,Human Resources,HR Manager,9,2,Yes,101212,5,No
EMP0831,27,Male,Research & Development,Laboratory Technician,3,4,No,92287,5,Yes
EMP0832,32,Male,Sales,Sales Representative,7,5,No,55729,2,Yes
EMP0833,37,Female,Human Resources,Laboratory Technician,12,2,Yes,31263,2,Yes
EMP0834,33,Male,Sales,Research Scientist,12,2,No,67387,1,Yes
EMP0835,57,Male,Sales,Laboratory Technician,12,2,Yes,138424,4,Yes
EMP0836,26,Female,Sales,Sales Executive,15,3,Yes,102725,4,No
EMP0837,32,Female,Human Resources,Research Scientist,11,1,No,86989,4,No
EMP0838,22,Female,Sales,Sales Representative,9,1,No,54111,2,Yes
EMP0839,48,Male,Human Resources,Sales Representative,10,2,Yes,71414,1,No
EMP0840,50,Male,Sales,Sales Representative,2,3,No,119688,4,Yes
EMP0841,60,Male,Research & Development,Sales Executive,6,4,No,38204,4,Yes
EMP0842,52,Male,Sales,Sales Representative,5,5,No,71085,1,Yes
EMP0843,40,Female,Sales,Laboratory Technician,8,5,Yes,53794,5,Yes
EMP0844,24,Female,Sales,Laboratory Technician,4,4,No,46020,2,Yes
EMP0845,36,Female,Sales,Research Scientist,13,4,No,88349,2,Yes
EMP0846,40,Male,Research & Development,Sales Representative,14,2,Yes,120637,2,Yes
EMP0847,40,Female,Human Resources,Sales Executive,15,2,No,70072,4,No
EMP0848,51,Male,Sales,HR Manager,8,1,Yes,83555,4,No
EMP0849,26,Male,Sales,Laboratory Technician,3,1,No,72823,4,No
EMP0850,36,Female,Sales,Research Scientist,13,4,No,139016,5,Yes
EMP0851,38,Female,Research & Development,Laboratory Technician,11,4,No,116624,3,No
EMP0852,59,Male,Research & Development,Laboratory Technician,5,4,No,57879,1,No
EMP0853,34,Female,Sales,Research Scientist,0,2,Yes,72917,5,No
EMP0854,49,Male,Sales,Laboratory Technician,11,4,No,125543,1,Yes
EMP0855,29,Male,Sales,Laboratory Technician,14,5,No,59678,5,No
EMP0856,56,Female,Sales,Sales Executive,11,4,Yes,93259,4,Yes
EMP0857,36,Female,Human Resources,HR Manager,13,1,No,136452,5,Yes
EMP0858,31,Male,Human Resources,Research Scientist,6,5,No,135614,5,Yes
EMP0859,39,Male,Human Resources,Research Scientist,6,3,No,132793,4,Yes
EMP0860,31,Male,Sales,Sales Representative,12,2,Yes,97090,3,No
EMP0861,26,Female,Research & Development,HR Manager,11,4,Yes,36553,2,Yes
EMP0862,25,Male,Sales,Laboratory Technician,5,4,No,43307,5,No
EMP0863,32,Male,Research & Development,Sales Executive,0,5,Yes,97093,3,Yes
EMP0864,41,Female,Sales,Sales Representative,6,3,Yes,103993,5,Yes
EMP0865,60,Female,Sales,Research Scientist,14,3,No,143177,1,Yes
EMP0866,58,Female,Research & Development,HR Manager,11,1,Yes,44074,4,No
EMP0867,40,Female,Human Resources,Sales Executive,6,4,No,76693,4,No
EMP0868,50,Female,Sales,Research Scientist,0,5,Yes,85686,2,No
EMP0869,29,Female,Sales,Laboratory Technician,9,5,Yes,119857,5,No
EMP0870,51,Male,Sales,Sales Representative,10,4,No,92700,4,Yes
EMP0871,41,Male,Human Resources,HR Manager,3,4,Yes,54640,2,No
EMP0872,47,Male,Sales,Sales Representative,11,5,No,68343,3,Yes
EMP0873,39,Female,Human Resources,Laboratory Technician,8,2,No,66597,2,Yes
EMP0874,54,Male,Sales,Laboratory Technician,0,3,Yes,143948,5,No
EMP0875,56,Female,Sales,Research Scientist,8,2,Yes,80006,5,Yes
EMP0876,53,Male,Human Resources,Sales Representative,1,1,Yes,95085,5,No
EMP0877,50,Male,Research & Development,Sales Representative,8,5,No,41484,4,Yes
EMP0878,27,Male,Sales,Sales Representative,15,4,No,126366,4,Yes
EMP0879,60,Male,Sales,Sales Representative,12,2,Yes,92808,1,Yes
EMP0880,24,Male,Sales,Sales Executive,1,4,Yes,88024,3,Yes
EMP0881,49,Female,Human Resources,Research Scientist,8,2,No,127295,3,Yes
EMP0882,42,Female,Research & Development,HR Manager,8,2,Yes,79663,1,No
EMP0883,60,Male,Human Resources,Sales Executive,1,3,No,51310,3,No
EMP0884,38,Male,Research & Development,Sales Representative,0,3,No,107658,5,Yes
EMP0885,23,Female,Research & Development,Laboratory Technician,15,4,No,136046,2,Yes
EMP0886,27,Female,Sales,Laboratory Technician,14,3,Yes,82099,2,Yes
EMP0887,36,Male,Human Resources,Sales Representative,15,2,No,107181,1,Yes
EMP0888,58,Male,Human Resources,Sales Executive,5,3,Yes,38559,4,Yes
EMP0889,59,Male,Human Resources,Sales Executive,15,2,No,70683,1,Yes
EMP0890,23,Female,Sales,Research Scientist,3,4,Yes,59423,3,No
EMP0891,39,Female,Human Resources,Laboratory Technician,1,5,Yes,57512,5,No
EMP0892,58,Female,Human Resources,Sales Representative,11,4,Yes,136644,4,No
EMP0893,24,Female,Sales,Sales Executive,0,1,No,81911,1,No
EMP0894,33,Female,Sales,Sales Executive,4,5,Yes,47898,5,No
EMP0895,52,Male,Human Resources,HR Manager,5,2,Yes,107025,4,Yes
EMP0896,55,Female,Sales,Research Scientist,4,1,Yes,109246,4,Yes
EMP0897,50,Female,Human Resources,HR Manager,2,4,Yes,105443,1,No
EMP0898,39,Female,Sales,Laboratory Technician,13,1,No,63679,4,No
EMP0899,33,Male,Human Resources,Sales Representative,3,4,Yes,146478,4,Yes
EMP0900,59,Male,Sales,Laboratory Technician,1,5,Yes,79292,2,No
EMP0901,49,Female,Research & Development,Sales Representative,14,3,No,112458,2,Yes
EMP0902,53,Male,Sales,Sales Executive,1,3,Yes,134053,1,No
EMP0903,27,Male,Human Resources,Sales Executive,10,4,Yes,86362,1,No
EMP0904,52,Male,Sales,Sales Representative,3,1,Yes,64339,4,No
EMP0905,44,Male,Human Resources,Laboratory Technician,8,4,No,148755,2,Yes
EMP0906,48,Male,Sales,Laboratory Technician,6,4,No,74755,5,No
EMP0907,43,Male,Sales,Research Scientist,0,4,Yes,36902,1,Yes
EMP0908,42,Male,Human Resources,HR Manager,10,4,No,109900,4,Yes
EMP0909,28,Male,Human Resources,Sales Representative,10,1,Yes,107010,2,Yes
EMP0910,32,Female,Research & Development,Laboratory Technician,5,4,Yes,105381,5,Yes
EMP0911,43,Male,Research & Development,Sales Executive,11,3,Yes,106786,5,Yes
EMP0912,48,Female,Human Resources,Laboratory Technician,0,3,No,133585,2,No
EMP0913,53,Female,Human Resources,Laboratory Technician,12,2,No,33800,5,Yes
EMP0914,40,Male,Sales,Research Scientist,13,3,Yes,120373,5,No
EMP0915,47,Male,Research & Development,Laboratory Technician,1,3,No,34840,1,No
EMP0916,57,Male,Human Resources,Research Scientist,2,3,No,44701,5,Yes
EMP0917,24,Male,Sales,Sales Executive,6,4,Yes,36320,5,No
EMP0918,51,Male,Sales,Sales Executive,4,2,Yes,99765,2,No
EMP0919,27,Male,Research & Development,Sales Executive,8,2,No,108063,4,No
EMP0920,42,Female,Research & Development,Sales Executive,2,2,No,102627,1,Yes
EMP0921,38,Female,Research & Development,Sales Executive,5,5,No,74601,5,No
EMP0922,42,Female,Sales,Laboratory Technician,14,5,No,92874,2,No
EMP0923,29,Male,Human Resources,HR Manager,1,5,Yes,59868,4,Yes
EMP0924,47,Female,Sales,Sales Representative,8,5,No,105686,3,No
EMP0925,54,Female,Research & Development,Sales Executive,6,2,Yes,32223,2,Yes
EMP0926,22,Male,Sales,HR Manager,13,1,Yes,99637,2,Yes
EMP0927,56,Male,Research & Development,HR Manager,5,4,No,148740,4,No
EMP0928,51,Male,Sales,HR Manager,0,3,No,60664,1,Yes
EMP0929,48,Female,Research & Development,Laboratory Technician,9,1,Yes,139138,4,No
EMP0930,25,Female,Sales,Research Scientist,8,2,Yes,119621,1,No
EMP0931,34,Male,Human Resources,Sales Executive,11,1,No,122913,5,No
EMP0932,55,Female,Sales,HR Manager,3,2,No,74614,4,Yes
EMP0933,45,Male,Research & Development,Sales Representative,10,1,Yes,51459,3,Yes
EMP0934,53,Female,Research & Development,Laboratory Technician,14,5,No,42478,5,No
EMP0935,50,Male,Human Resources,Laboratory Technician,2,5,No,122310,3,No
EMP0936,25,Male,Research & Development,Laboratory Technician,14,1,Yes,41139,2,No
EMP0937,35,Female,Human Resources,Research Scientist,2,3,No,100818,4,No
EMP0938,39,Male,Human Resources,HR Manager,3,1,No,107915,5,No
EMP0939,57,Male,Sales,Sales Representative,2,5,Yes,83686,3,No
EMP0940,30,Female,Sales,Sales Executive,5,3,Yes,116975,2,No
EMP0941,40,Male,Research & Development,Research Scientist,2,4,No,98428,1,No
EMP0942,50,Male,Research & Development,Sales Executive,5,2,Yes,68077,2,No
EMP0943,53,Female,Sales,HR Manager,10,3,Yes,148568,5,No
EMP0944,29,Male,Research & Development,Sales Representative,0,2,No,67681,5,No
EMP0945,23,Female,Research & Development,Laboratory Technician,5,4,No,52308,2,Yes
EMP0946,60,Female,Research & Development,Sales Executive,0,3,Yes,115269,1,Yes
EMP0947,37,Female,Human Resources,Laboratory Technician,6,2,Yes,68641,2,No
EMP0948,32,Male,Human Resources,HR Manager,11,2,No,81100,3,No
EMP0949,41,Male,Research & Development,HR Manager,14,4,Yes,66298,3,No
EMP0950,57,Female,Human Resources,HR Manager,2,3,No,126485,5,Yes
EMP0951,22,Male,Research & Development,Laboratory Technician,7,2,No,97449,1,Yes
EMP0952,57,Female,Sales,Sales Executive,9,5,No,131774,1,No
EMP0953,48,Female,Human Resources,HR Manager,6,1,Yes,97725,3,No
EMP0954,27,Male,Research & Development,HR Manager,4,2,Yes,68999,3,Yes
EMP0955,36,Male,Research & Development,HR Manager,9,1,No,111166,5,No
EMP0956,29,Male,Research & Development,Sales Executive,1,5,Yes,128445,5,Yes
EMP0957,51,Male,Sales,Sales Representative,12,1,No,148088,4,No
EMP0958,29,Male,Sales,Sales Executive,9,5,No,140018,4,Yes
EMP0959,31,Female,Research & Development,Sales Representative,5,2,No,117817,1,No
EMP0960,53,Male,Human Resources,HR Manager,8,3,No,110618,4,No
EMP0961,40,Male,Research & Development,Sales Representative,4,5,Yes,124921,5,No
EMP0962,54,Male,Sales,Sales Executive,10,4,No,90007,2,No
EMP0963,39,Male,Sales,HR Manager,13,4,No,106393,1,Yes
EMP0964,48,Female,Human Resources,Laboratory Technician,7,2,No,78589,5,Yes
EMP0965,52,Male,Research & Development,Research Scientist,6,2,No,87414,3,Yes
EMP0966,52,Female,Human Resources,Sales Executive,8,1,No,52373,5,No
EMP0967,37,Female,Sales,Sales Executive,6,2,Yes,103536,4,Yes
EMP0968,51,Female,Research & Development,Sales Representative,5,5,No,149385,2,No
EMP0969,57,Female,Research & Development,HR Manager,9,1,No,144929,1,No
EMP0970,31,Male,Human Resources,Sales Representative,8,1,No,78619,3,No
EMP0971,46,Male,Human Resources,Sales Representative,14,1,No,137988,3,Yes
EMP0972,34,Male,Human Resources,Sales Executive,8,3,Yes,131597,5,Yes
EMP0973,60,Male,Sales,HR Manager,2,2,Yes,146632,5,No
EMP0974,54,Female,Sales,Research Scientist,15,5,Yes,94261,2,Yes
EMP0975,30,Female,Sales,Sales Executive,11,1,Yes,73069,3,No
EMP0976,26,Female,Research & Development,Sales Executive,11,4,Yes,113245,2,Yes
EMP0977,39,Female,Research & Development,Sales Executive,11,5,Yes,123058,5,No
EMP0978,48,Male,Human Resources,HR Manager,14,3,No,104844,5,No
EMP0979,43,Male,Human Resources,Research Scientist,5,2,No,75682,3,Yes
EMP0980,54,Male,Sales,Research Scientist,1,2,Yes,128858,2,Yes
EMP0981,39,Male,Human Resources,HR Manager,12,5,No,98144,1,Yes
EMP0982,22,Male,Sales,Sales Representative,4,2,Yes,46569,2,Yes
EMP0983,40,Male,Sales,Laboratory Technician,6,2,No,97936,1,No
EMP0984,41,Female,Research & Development,Sales Executive,13,1,Yes,127241,4,No
EMP0985,59,Female,Sales,Sales Representative,11,3,Yes,44570,5,No
EMP0986,59,Female,Research & Development,Research Scientist,9,2,No,140439,1,Yes
EMP0987,53,Female,Sales,Sales Executive,6,3,Yes,107638,4,Yes
EMP0988,31,Male,Human Resources,HR Manager,10,5,No,36729,4,Yes
EMP0989,50,Female,Research & Development,Research Scientist,8,1,Yes,53481,5,Yes
EMP0990,56,Female,Sales,HR Manager,2,5,Yes,48803,1,No
EMP0991,52,Male,Sales,Laboratory Technician,6,5,No,39366,4,No
EMP0992,44,Male,Research & Development,Sales Representative,8,1,Yes,87816,4,No
EMP0993,43,Female,Human Resources,HR Manager,6,4,No,127673,3,Yes
EMP0994,57,Female,Research & Development,Laboratory Technician,14,2,No,106520,2,No
EMP0995,56,Female,Research & Development,Research Scientist,8,2,Yes,90654,1,No
EMP0996,46,Female,Human Resources,HR Manager,1,1,No,125830,3,No
EMP0997,51,Female,Human Resources,Research Scientist,3,4,Yes,100623,5,No
EMP0998,42,Female,Human Resources,HR Manager,5,2,Yes,109849,5,Yes
EMP0999,34,Female,Research & Development,HR Manager,15,2,No,116551,1,No
EMP1000,37,Male,Human Resources,HR Manager,4,2,No,147597,1,Yes
EMP1001,58,Male,Research & Development,Sales Representative,14,5,No,116844,4,No
EMP1002,46,Male,Research & Development,Sales Executive,10,3,Yes,140851,3,Yes
EMP1003,36,Male,Research & Development,Sales Executive,11,5,No,112732,5,No
EMP1004,48,Male,Human Resources,Sales Representative,12,3,No,139915,2,Yes
EMP1005,24,Male,Human Resources,Sales Executive,1,4,Yes,39696,5,Yes
EMP1006,42,Female,Research & Development,Sales Representative,10,2,Yes,137479,1,Yes
EMP1007,52,Female,Research & Development,Sales Representative,3,4,Yes,48043,3,Yes
EMP1008,46,Female,Human Resources,Research Scientist,11,2,No,69221,1,Yes
EMP1009,46,Male,Research & Development,Sales Representative,0,1,Yes,99313,2,No
EMP1010,31,Female,Sales,Sales Representative,5,2,No,100837,4,No
EMP1011,53,Female,Research & Development,HR Manager,13,2,No,54580,1,Yes
EMP1012,24,Male,Sales,HR Manager,15,5,Yes,113794,1,Yes
EMP1013,30,Male,Sales,Sales Representative,10,1,Yes,109748,4,Yes
EMP1014,54,Female,Research & Development,HR Manager,10,1,No,148922,1,No
EMP1015,59,Female,Research & Development,Research Scientist,3,4,No,142706,5,Yes
EMP1016,43,Male,Research & Development,Research Scientist,5,2,No,89225,2,Yes
EMP1017,28,Female,Sales,Sales Representative,11,1,No,147796,4,No
EMP1018,50,Female,Human Resources,HR Manager,9,3,No,40741,3,No
EMP1019,28,Male,Sales,Laboratory Technician,5,4,No,90571,1,Yes
EMP1020,55,Male,Sales,Sales Executive,14,5,No,31885,4,No
EMP1021,51,Female,Sales,HR Manager,5,4,No,73013,1,No
EMP1022,22,Female,Human Resources,Research Scientist,0,4,Yes,128384,2,No
EMP1023,31,Male,Sales,Research Scientist,14,5,No,106100,1,No
EMP1024,48,Male,Sales,Laboratory Technician,14,5,No,99352,5,Yes
EMP1025,31,Female,Research & Development,Sales Representative,13,4,No,69223,5,No
EMP1026,26,Male,Human Resources,Laboratory Technician,12,5,Yes,64431,1,Yes
EMP1027,52,Female,Sales,Laboratory Technician,15,4,Yes,73087,5,No
